sub	sess	t	cond	trig	event	onset
1	0	1	3	3	t_start	3601.87333809
1	0	1	3	11	all_drs_on	3605.92588429
1	0	1	3	5	d_clsd	3605.94593842
1	0	1	3	4	d_open	3606.29607795
1	0	1	3	5	d_clsd	3607.14667166
1	0	1	3	4	d_open	3607.49682297
1	0	1	3	5	d_clsd	3608.34737562
1	0	1	3	4	d_open	3608.69766790
1	0	1	3	5	d_clsd	3609.54811128
1	0	1	3	4	d_open	3609.89833564
1	0	1	3	5	d_clsd	3611.60942015
1	0	1	3	4	d_open	3612.34987420
1	0	1	3	5	d_clsd	3615.54191721
1	0	1	3	4	d_open	3616.16226535
1	0	1	3	5	d_clsd	3617.59316959
1	0	1	3	4	d_open	3618.13357443
1	0	1	3	5	d_clsd	3619.16415415
1	0	1	3	4	d_open	3619.51437037
1	0	1	3	5	d_clsd	3620.36491970
1	0	1	3	4	d_open	3620.71516459
1	0	1	3	5	d_clsd	3621.56567437
1	0	1	3	4	d_open	3621.91590055
1	0	1	3	5	d_clsd	3622.76643297
1	0	1	3	4	d_open	3624.96781312
1	0	1	3	5	d_clsd	3625.81835550
1	0	1	3	4	d_open	3626.16858953
1	0	1	3	5	d_clsd	3627.01912588
1	0	1	3	4	d_open	3627.36932277
1	0	1	3	5	d_clsd	3628.21988447
1	0	1	3	4	d_open	3628.89026847
1	0	1	3	5	d_clsd	3629.74090383
1	0	1	3	4	d_open	3630.08105359
1	0	1	3	5	d_clsd	3630.93155763
1	0	1	3	4	d_open	3632.00223052
1	0	1	3	5	d_clsd	3632.85275539
1	0	1	3	4	d_open	3633.20302625
1	0	1	3	5	d_clsd	3634.05353029
1	0	1	3	4	d_open	3634.40375164
1	0	1	3	5	d_clsd	3635.25431304
1	0	1	3	4	d_open	3635.60449484
1	0	1	3	5	d_clsd	3636.45502576
1	0	1	3	4	d_open	3636.80525556
1	0	1	3	5	d_clsd	3637.65576836
1	0	1	3	4	d_open	3638.83651570
1	0	1	3	5	d_clsd	3640.23740833
1	0	1	3	4	d_open	3640.76769569
1	0	1	3	5	d_clsd	3641.61827400
1	0	1	3	4	d_open	3642.13860630
1	0	1	3	5	d_clsd	3642.98916347
1	0	1	3	4	d_open	3645.69090813
1	0	1	3	5	d_clsd	3646.91160554
1	0	1	3	4	d_open	3647.26181059
1	0	1	3	5	d_clsd	3648.11236716
1	0	1	3	4	d_open	3648.46257583
1	0	1	3	20	pre_tgt	3648.54262811
1	0	1	3	21	tgt_on	3649.29321321
1	0	2	3	3	t_start	3652.00480939
1	0	2	3	11	all_drs_on	3657.67838868
1	0	2	3	5	d_clsd	3657.68842223
1	0	2	3	4	d_open	3658.67900570
1	0	2	3	5	d_clsd	3659.52957042
1	0	2	3	4	d_open	3659.99982642
1	0	2	3	5	d_clsd	3662.73156307
1	0	2	3	4	d_open	3663.08181068
1	0	2	3	5	d_clsd	3663.93232136
1	0	2	3	4	d_open	3664.28260248
1	0	2	3	5	d_clsd	3665.13307000
1	0	2	3	4	d_open	3665.48326569
1	0	2	3	5	d_clsd	3666.33380898
1	0	2	3	4	d_open	3666.68407047
1	0	2	3	5	d_clsd	3667.53461588
1	0	2	3	4	d_open	3667.88479134
1	0	2	3	5	d_clsd	3668.73534037
1	0	2	3	4	d_open	3669.34570688
1	0	2	3	20	pre_tgt	3669.40587439
1	0	2	3	21	tgt_on	3670.15630010
1	0	3	3	3	t_start	3672.79788268
1	0	3	3	11	all_drs_on	3674.81919078
1	0	3	3	5	d_clsd	3674.82917271
1	0	3	3	4	d_open	3675.18942459
1	0	3	3	5	d_clsd	3676.03995279
1	0	3	3	4	d_open	3676.39017383
1	0	3	3	5	d_clsd	3677.24070958
1	0	3	3	4	d_open	3677.75099172
1	0	3	3	20	pre_tgt	3677.81113206
1	0	3	3	21	tgt_on	3678.56161875
1	0	4	3	3	t_start	3681.60348901
1	0	4	3	11	all_drs_on	3683.62474700
1	0	4	3	5	d_clsd	3683.63470085
1	0	4	3	4	d_open	3684.38515856
1	0	4	3	5	d_clsd	3685.23569069
1	0	4	3	4	d_open	3685.58591415
1	0	4	3	5	d_clsd	3686.43645321
1	0	4	3	4	d_open	3686.78667365
1	0	4	3	5	d_clsd	3687.63720939
1	0	4	3	4	d_open	3688.32772690
1	0	4	3	5	d_clsd	3690.70914470
1	0	4	3	4	d_open	3691.05938748
1	0	4	3	5	d_clsd	3692.51028335
1	0	4	3	4	d_open	3692.86052462
1	0	4	3	5	d_clsd	3693.71102263
1	0	4	3	4	d_open	3694.12125693
1	0	4	3	5	d_clsd	3694.97180173
1	0	4	3	4	d_open	3695.32204209
1	0	4	3	5	d_clsd	3696.17253346
1	0	4	3	4	d_open	3696.52277624
1	0	4	3	5	d_clsd	3697.37331258
1	0	4	3	4	d_open	3697.72357710
1	0	4	3	5	d_clsd	3698.57406907
1	0	4	3	4	d_open	3698.92430853
1	0	4	3	20	pre_tgt	3698.98444615
1	0	4	3	21	tgt_on	3699.73503035
1	0	5	3	3	t_start	3702.37655497
1	0	5	3	11	all_drs_on	3704.39781295
1	0	5	3	5	d_clsd	3704.40783443
1	0	5	3	4	d_open	3705.24830040
1	0	5	3	5	d_clsd	3706.09881501
1	0	5	3	4	d_open	3706.44910216
1	0	5	3	5	d_clsd	3707.29959172
1	0	5	3	4	d_open	3708.41027867
1	0	5	3	5	d_clsd	3709.26079147
1	0	5	3	4	d_open	3709.61105750
1	0	5	3	5	d_clsd	3710.46156396
1	0	5	3	4	d_open	3710.81178138
1	0	5	3	5	d_clsd	3712.16263877
1	0	5	3	4	d_open	3712.63298654
1	0	5	3	5	d_clsd	3714.38407032
1	0	5	3	4	d_open	3714.76430539
1	0	5	3	5	d_clsd	3715.61478770
1	0	5	3	4	d_open	3715.96501810
1	0	5	3	5	d_clsd	3716.81560637
1	0	5	3	4	d_open	3717.16578636
1	0	5	3	20	pre_tgt	3717.22593787
1	0	5	3	21	tgt_on	3717.97651814
1	0	6	1	1	t_start	3787.88028986
1	0	6	1	11	all_drs_on	3789.89159941
1	0	6	1	5	d_clsd	3789.90159674
1	0	6	1	4	d_open	3790.66196122
1	0	6	1	5	d_clsd	3791.56254700
1	0	6	1	4	d_open	3792.51314508
1	0	6	1	5	d_clsd	3793.36369682
1	0	6	1	4	d_open	3793.71390096
1	0	6	1	5	d_clsd	3794.56443399
1	0	6	1	4	d_open	3795.15483935
1	0	6	1	5	d_clsd	3796.00535880
1	0	6	1	4	d_open	3796.56568161
1	0	6	1	5	d_clsd	3797.41621977
1	0	6	1	4	d_open	3797.76640550
1	0	6	1	5	d_clsd	3798.61697203
1	0	6	1	4	d_open	3798.96718463
1	0	6	1	5	d_clsd	3799.81771977
1	0	6	1	4	d_open	3800.16796345
1	0	6	1	5	d_clsd	3801.01848742
1	0	6	1	4	d_open	3801.56882318
1	0	6	1	5	d_clsd	3802.41937341
1	0	6	1	4	d_open	3802.76961347
1	0	6	1	5	d_clsd	3803.62011782
1	0	6	1	4	d_open	3803.97032105
1	0	6	1	5	d_clsd	3804.82086404
1	0	6	1	4	d_open	3805.17108539
1	0	6	1	5	d_clsd	3806.02158672
1	0	6	1	4	d_open	3806.89215516
1	0	6	1	5	d_clsd	3807.74269603
1	0	6	1	4	d_open	3808.09291526
1	0	6	1	5	d_clsd	3808.94347425
1	0	6	1	4	d_open	3809.52384123
1	0	6	1	7	pre_tgt	3809.58392331
1	0	6	1	9	tgt_on	3810.34442937
1	0	7	1	1	t_start	3812.98604999
1	0	7	1	11	all_drs_on	3815.00731884
1	0	7	1	5	d_clsd	3815.01740552
1	0	7	1	4	d_open	3815.37749711
1	0	7	1	5	d_clsd	3816.22803376
1	0	7	1	4	d_open	3816.57826748
1	0	7	1	5	d_clsd	3817.42883824
1	0	7	1	4	d_open	3817.77900012
1	0	7	1	5	d_clsd	3818.62954643
1	0	7	1	4	d_open	3818.97975238
1	0	7	1	5	d_clsd	3819.83030201
1	0	7	1	4	d_open	3820.24054113
1	0	7	1	5	d_clsd	3821.09108563
1	0	7	1	4	d_open	3822.36195262
1	0	7	1	5	d_clsd	3823.21246874
1	0	7	1	4	d_open	3824.18306057
1	0	7	1	5	d_clsd	3825.03355797
1	0	7	1	4	d_open	3825.37382124
1	0	7	1	5	d_clsd	3826.22433434
1	0	7	1	4	d_open	3826.57461364
1	0	7	1	5	d_clsd	3827.42506034
1	0	7	1	4	d_open	3827.77535896
1	0	7	1	5	d_clsd	3828.62586391
1	0	7	1	4	d_open	3828.97602398
1	0	7	1	5	d_clsd	3829.82657663
1	0	7	1	4	d_open	3830.17679979
1	0	7	1	5	d_clsd	3831.02739651
1	0	7	1	4	d_open	3834.06923900
1	0	7	1	5	d_clsd	3834.91976025
1	0	7	1	4	d_open	3835.26998220
1	0	7	1	5	d_clsd	3836.12061123
1	0	7	1	4	d_open	3836.47078910
1	0	7	1	5	d_clsd	3837.32136258
1	0	7	1	4	d_open	3837.82167034
1	0	7	1	5	d_clsd	3838.67218857
1	0	7	1	4	d_open	3839.02236675
1	0	7	1	7	pre_tgt	3839.08255509
1	0	7	1	9	tgt_on	3839.84319789
1	0	8	1	1	t_start	3842.48457430
1	0	8	1	11	all_drs_on	3844.49585457
1	0	8	1	5	d_clsd	3844.50583711
1	0	8	1	4	d_open	3845.30629565
1	0	8	1	7	pre_tgt	3845.36633879
1	0	8	1	9	tgt_on	3846.12698189
1	0	9	1	1	t_start	3848.76859013
1	0	9	1	11	all_drs_on	3852.93114377
1	0	9	1	5	d_clsd	3852.94114895
1	0	9	1	4	d_open	3853.51144736
