sub	sess	t	cond	loc	prob	tgt
10	1	999	3	9	999	12
10	1	999	3	7	999	48
10	1	999	3	10	999	26
10	1	999	3	12	999	56
10	1	999	3	5	999	97
10	1	1	1	14	2.500000e-01	8
10	1	2	2	11	2.500000e-01	46
10	1	3	2	13	2.500000e-01	16
10	1	4	2	5	2.500000e-01	7
10	1	5	1	2	2.500000e-01	36
10	1	6	1	12	2.500000e-01	48
10	1	7	2	13	2.500000e-01	42
10	1	8	2	5	2.500000e-01	80
10	1	9	1	14	2.500000e-01	68
10	1	10	1	12	2.500000e-01	41
10	1	11	2	13	2.500000e-01	12
10	1	12	2	13	2.500000e-01	75
10	1	13	1	2	2.500000e-01	42
10	1	14	1	8	2.500000e-01	67
10	1	15	1	2	2.500000e-01	56
10	1	16	2	3	2.500000e-01	26
10	1	17	2	5	2.500000e-01	29
10	1	18	1	14	2.500000e-01	19
10	1	19	1	8	2.500000e-01	15
10	1	20	1	14	2.500000e-01	79
10	1	21	1	12	2.500000e-01	23
10	1	22	2	3	2.500000e-01	24
10	1	23	1	14	2.500000e-01	35
10	1	24	1	12	2.500000e-01	30
10	1	25	1	8	2.500000e-01	20
10	1	26	2	3	2.500000e-01	33
10	1	27	2	3	2.500000e-01	60
10	1	28	1	8	2.500000e-01	12
10	1	29	1	14	2.500000e-01	54
10	1	30	1	8	2.500000e-01	33
10	1	31	2	11	2.500000e-01	11
10	1	32	2	5	2.500000e-01	10
10	1	33	2	5	2.500000e-01	50
10	1	34	2	3	2.500000e-01	43
10	1	35	1	14	2.500000e-01	3
10	1	36	1	14	2.500000e-01	71
10	1	37	1	8	2.500000e-01	28
10	1	38	1	12	2.500000e-01	73
10	1	39	1	12	2.500000e-01	53
10	1	40	2	13	2.500000e-01	32
10	1	41	1	12	2.500000e-01	59
10	1	42	1	12	2.500000e-01	18
10	1	43	2	5	2.500000e-01	54
10	1	44	2	11	2.500000e-01	35
10	1	45	1	12	2.500000e-01	22
10	1	46	2	3	2.500000e-01	78
10	1	47	1	8	2.500000e-01	1
10	1	48	2	3	2.500000e-01	3
10	1	49	2	5	2.500000e-01	51
10	1	50	2	3	2.500000e-01	2
10	1	51	2	11	2.500000e-01	19
10	1	52	1	8	2.500000e-01	32
10	1	53	1	12	2.500000e-01	4
10	1	54	2	11	2.500000e-01	8
10	1	55	1	8	2.500000e-01	76
10	1	56	2	13	2.500000e-01	34
10	1	57	1	12	2.500000e-01	37
10	1	58	2	11	2.500000e-01	5
10	1	59	2	5	2.500000e-01	47
10	1	60	1	12	2.500000e-01	25
10	1	61	1	8	2.500000e-01	66
10	1	62	2	3	2.500000e-01	74
10	1	63	1	2	2.500000e-01	14
10	1	64	1	14	2.500000e-01	40
10	1	65	2	11	2.500000e-01	15
10	1	66	1	14	2.500000e-01	72
10	1	67	2	13	2.500000e-01	9
10	1	68	1	8	2.500000e-01	70
10	1	69	2	13	2.500000e-01	49
10	1	70	1	14	2.500000e-01	5
10	1	71	1	8	2.500000e-01	44
10	1	72	2	5	2.500000e-01	67
10	1	73	2	11	2.500000e-01	45
10	1	74	2	11	2.500000e-01	14
10	1	75	2	5	2.500000e-01	6
10	1	76	2	11	2.500000e-01	63
10	1	77	2	11	2.500000e-01	58
10	1	78	2	5	2.500000e-01	48
10	1	79	2	11	2.500000e-01	22
10	1	80	1	8	2.500000e-01	11
10	1	81	1	12	2.500000e-01	57
10	1	82	2	11	2.500000e-01	30
10	1	83	1	2	2.500000e-01	9
10	1	84	1	8	2.500000e-01	45
10	1	85	1	12	2.500000e-01	38
10	1	86	2	13	2.500000e-01	37
10	1	87	1	2	2.500000e-01	78
10	1	88	1	8	2.500000e-01	13
10	1	89	1	2	2.500000e-01	64
10	1	90	1	12	2.500000e-01	21
10	1	91	2	13	2.500000e-01	57
10	1	92	1	12	2.500000e-01	74
10	1	93	1	14	2.500000e-01	63
10	1	94	2	11	2.500000e-01	38
10	1	95	2	3	2.500000e-01	62
10	1	96	2	3	2.500000e-01	4
10	1	97	1	8	2.500000e-01	27
10	1	98	1	12	2.500000e-01	58
10	1	99	2	13	2.500000e-01	41
10	1	100	1	8	2.500000e-01	2
10	1	101	1	14	2.500000e-01	31
10	1	102	2	3	2.500000e-01	27
10	1	103	2	5	2.500000e-01	70
10	1	104	1	12	2.500000e-01	49
10	1	105	2	11	2.500000e-01	13
10	1	106	1	2	2.500000e-01	77
10	1	107	2	11	2.500000e-01	72
10	1	108	2	13	2.500000e-01	73
10	1	109	1	12	2.500000e-01	26
10	1	110	1	12	2.500000e-01	29
10	1	111	2	13	2.500000e-01	25
10	1	112	1	8	2.500000e-01	65
10	1	113	1	2	2.500000e-01	34
10	1	114	1	14	2.500000e-01	50
10	1	115	2	3	2.500000e-01	76
10	1	116	1	8	2.500000e-01	16
10	1	117	2	11	2.500000e-01	66
10	1	118	1	14	2.500000e-01	51
10	1	119	2	13	2.500000e-01	21
10	1	120	2	3	2.500000e-01	23
10	1	121	2	3	2.500000e-01	52
10	1	122	1	12	2.500000e-01	55
10	1	123	1	12	2.500000e-01	10
10	1	124	2	3	2.500000e-01	56
10	1	125	1	2	2.500000e-01	69
10	1	126	2	11	2.500000e-01	65
10	1	127	1	8	2.500000e-01	61
10	1	128	1	2	2.500000e-01	39
10	1	129	2	13	2.500000e-01	64
10	1	130	2	11	2.500000e-01	28
10	1	131	2	5	2.500000e-01	17
10	1	132	1	14	2.500000e-01	75
10	1	133	1	14	2.500000e-01	52
10	1	134	2	3	2.500000e-01	55
10	1	135	2	3	2.500000e-01	44
10	1	136	1	8	2.500000e-01	24
10	1	137	2	11	2.500000e-01	53
10	1	138	1	2	2.500000e-01	60
10	1	139	2	11	2.500000e-01	39
10	1	140	1	2	2.500000e-01	6
10	1	141	2	3	2.500000e-01	40
10	1	142	1	2	2.500000e-01	7
10	1	143	2	13	2.500000e-01	68
10	1	144	2	3	2.500000e-01	59
10	1	145	1	12	2.500000e-01	47
10	1	146	2	3	2.500000e-01	1
10	1	147	1	12	2.500000e-01	46
10	1	148	1	12	2.500000e-01	43
10	1	149	2	11	2.500000e-01	71
10	1	150	2	13	2.500000e-01	36
10	1	151	2	11	2.500000e-01	31
10	1	152	2	5	2.500000e-01	77
10	1	153	2	13	2.500000e-01	69
10	1	154	2	5	2.500000e-01	79
10	1	155	2	3	2.500000e-01	18
10	1	156	2	3	2.500000e-01	20
10	1	157	1	14	2.500000e-01	17
10	1	158	1	12	2.500000e-01	62
10	1	159	1	14	2.500000e-01	80
10	1	160	2	5	2.500000e-01	61
