sub	sess	t	cond	onset	open_d	door	door_p	tgt_door	tgt_on	tgt_found	depress_dur	x	y
1	2	1	3	0.022	0	0	0.000	11	0	0	0.017	970.322	531.653
1	2	1	3	0.029	0	0	0.000	11	0	0	0.023	970.960	533.364
1	2	1	3	0.039	0	0	0.000	11	0	0	0.033	970.120	534.774
1	2	1	3	0.047	0	0	0.000	11	0	0	0.042	971.543	536.752
1	2	1	3	0.057	0	0	0.000	11	0	0	0.052	973.088	538.948
1	2	1	3	0.077	0	0	0.000	11	0	0	0.072	974.044	538.865
1	2	1	3	0.087	0	0	0.000	11	0	0	0.082	972.691	543.021
1	2	1	3	0.097	0	0	0.000	11	0	0	0.092	973.354	546.285
1	2	1	3	0.107	0	0	0.000	11	0	0	0.102	974.106	541.936
1	2	1	3	0.117	0	0	0.000	11	0	0	0.112	975.354	539.967
1	2	1	3	0.128	0	0	0.000	11	0	0	0.122	974.769	552.732
1	2	1	3	0.137	0	0	0.000	11	0	0	0.132	972.895	545.606
1	2	1	3	0.147	0	0	0.000	11	0	0	0.142	970.605	549.538
1	2	1	3	0.157	0	0	0.000	11	0	0	0.152	971.323	540.970
1	2	1	3	0.167	0	0	0.000	11	0	0	0.162	974.326	545.791
1	2	1	3	0.177	0	0	0.000	11	0	0	0.172	976.720	542.576
1	2	1	3	0.188	0	0	0.000	11	0	0	0.182	971.270	541.590
1	2	1	3	0.197	0	0	0.000	11	0	0	0.192	976.961	539.265
1	2	1	3	0.208	0	0	0.000	11	0	0	0.202	978.355	537.875
1	2	1	3	0.218	0	0	0.000	11	0	0	0.212	976.863	528.145
1	2	1	3	0.228	0	0	0.000	11	0	0	0.222	978.798	532.435
1	2	1	3	0.238	0	0	0.000	11	0	0	0.232	976.635	526.028
1	2	1	3	0.247	0	0	0.000	11	0	0	0.242	969.256	532.388
1	2	1	3	0.258	0	0	0.000	11	0	0	0.252	970.880	524.512
1	2	1	3	0.268	0	0	0.000	11	0	0	0.262	962.303	524.658
1	2	1	3	0.278	0	0	0.000	11	0	0	0.272	949.787	527.317
1	2	1	3	0.288	0	6	0.063	11	0	0	0.282	936.844	524.848
1	2	1	3	0.298	0	6	0.063	11	0	0	0.292	940.184	527.897
